Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7u,C1779
C10,0603,1,1u,C15849
C11,0603,1,1u,C15849
C12,0805,1,4.7u,C1779
C13,0603,1,0.1u,C14663
C14,0603,1,0.01u,C57112
C15,0805,1,4.7u,C1779
C16,0603,1,0.1u,C14663
C17,0603,1,0.1u,C14663
C18,0603,1,1u,C15849
C19,0603,1,1u,C15849
C2,0805,1,4.7u,C1779
C20,0805,1,4.7u,C1779
C21,0603,1,0.1u,C14663
C22,0603,1,0.01u,C57112
C23,0603,1,1u,C15849
C24,0603,1,1u,C15849
C25,0805,1,4.7u,C1779
C26,0603,1,0.1u,C14663
C27,0603,1,0.01u,C57112
C28,0603,1,0.1u,C14663
C29,0603,1,0.1u,C14663
C3,0805,1,4.7u,C1779
C4,0805,1,4.7u,C1779
C5,0805,1,4.7u,C1779
C6,0805,1,4.7u,C1779
C7,0603,1,0.1u,C15849
"C8, C9",CP_Elec_10x10,2,330u,
D1,"SMD,1.8x2mm",1,LED_BARG,C513367
"D2, D3",D_SOD-323,2,D,C191023
ENC1,JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal,1,Conn_01x05,
FB1,0603,1,FerriteBead,C1002
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO14580_Pad,4,MountingHole_Pad,
IN1,XT30PW22,1,~,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
"JP1, JP2",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_3_Open,
OUT1,AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal,1,Conn_01x03,
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC050N04LS,C5151871
R1,0603,1,10k,C25804
R10,0603,1,22,C23345
R11,1206,1,1m,C914835
R12,0603,1,100,C22775
R13,0603,1,100k,C25803
R14,0603,1,22,C23345
R15,0603,1,22,C23345
R16,1206,1,1m,C914835
R17,0603,1,100,C22775
R18,0603,1,120,
R19,0603,1,5.1k,C23186
R2,0603,1,1k,C21190
R20,0603,1,5.1k,C23186
R3,0603,1,100k,C25803
R4,0603,1,22,C23345
R5,0603,1,22,C23345
R6,1206,1,1m,C914835
R7,0603,1,100,C22775
R8,0603,1,100k,C25803
R9,0603,1,22,C23345
RN1,R_Array_Convex_4x0603,1,1k,C25510
TP1,sabanegi,1,LOGO,
U1,TO-252-2,1,9V_LR,
"U10, U5, U8",SOT-363_SC-70-6,3,INA199xxDCK,C2857879
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U12,MSOP-10_3x3mm_P0.5mm,1,CH340E,C99652
U13,SOT-23-3,1,XC6206PxxxMR,C5446
U2,SOT-89-3,1,L78L05_SOT89,C16106
"U4, U7, U9",MSOP-10_3x3mm_P0.5mm,3,DGD0506A,C460681
U6,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,Resonator,C1870467
