Designator,Mid X,Mid Y,Rotation,Layer
C1,37.5,9.5,270.0,top
C10,37.6625,2.3,0.0,top
C11,48.7,22.5,270.0,top
C12,55.2,20.5,0.0,top
C13,66.75,8.75,0.0,top
C14,32.0,5.1625,270.0,top
C15,19.724874,5.474874,225.0,top
C16,31.224874,12.474874,270.0,top
C17,16.974874,12.224874,90.0,top
C18,44.6,19.5,0.0,top
C19,48.7,13.25,270.0,top
C2,39.25,27.25,270.0,top
C20,55.2,11.1,0.0,top
C21,66.75,18.75,0.0,top
C22,33.75,5.1625,270.0,top
C23,44.5625,10.0,0.0,top
C24,48.7,3.1125,270.0,top
C25,55.2,1.0,0.0,top
C26,66.75,28.25,0.0,top
C27,35.5,5.1375,270.0,top
C28,7.089874,8.5,180.0,top
C29,12.184874,19.724874,270.0,top
C3,38.25,6.5,180.0,top
C4,32.0,25.5,90.0,top
C5,25.762374,26.049874,90.0,top
C6,22.762374,28.299874,180.0,top
C7,28.75,1.75,270.0,top
C8,29.5,6.5,270.0,bottom
C9,18.5,6.5,270.0,bottom
D1,6.15,2.5,90.0,top
D2,29.012374,24.299874,0.0,top
D3,19.184874,20.974874,180.0,top
ENC1,24.012374,20.399874,0.0,bottom
FB1,20.974874,3.974874,45.0,top
IN1,8.474874,11.981124,90.0,bottom
J1,41.2,26.725,0.0,bottom
J2,15.294874,26.329874,0.0,bottom
OUT1,71.375,18.25,90.0,bottom
Q1,53.355,24.4,180.0,top
Q2,60.605,24.35,180.0,top
Q3,53.305,15.0,180.0,top
Q4,60.555,15.0,180.0,top
Q5,53.305,4.85,180.0,top
Q6,60.605,4.9,180.0,top
R1,28.75,5.25,270.0,top
R10,42.0,17.0,90.0,top
R11,66.7,13.25,0.0,top
R12,33.75,8.6625,270.0,top
R13,43.5,7.0,90.0,top
R14,48.75,6.5,90.0,top
R15,42.0,7.0,90.0,top
R16,66.7,3.25,0.0,top
R17,35.5,8.6375,270.0,top
R18,2.974874,14.231124,270.0,top
R19,14.184874,27.224874,90.0,top
R2,27.0,1.75,270.0,top
R20,16.434874,27.224874,90.0,top
R3,43.5,26.3375,90.0,top
R4,48.7,26.0,90.0,top
R5,42.0,26.3375,90.0,top
R6,66.7,22.75,0.0,top
R7,32.0,8.6625,270.0,top
R8,43.5,17.0,90.0,top
R9,48.7,16.75,90.0,top
RN1,11.9,2.6,180.0,top
TP1,43.3155,19.911,270.0,bottom
U1,38.53,4.71,270.0,bottom
U10,66.75,6.25,270.0,top
U11,7.089874,13.206124,90.0,top
U12,15.184874,21.174874,270.0,top
U13,22.6,25.2,0.0,top
U2,35.3,26.549874,180.0,top
U4,44.7,22.5,180.0,top
U5,66.75,25.75,270.0,top
U6,23.974874,12.474874,45.0,top
U7,44.7,13.25,180.0,top
U8,66.75,16.25,270.0,top
U9,44.75,3.25,180.0,top
Y1,17.224874,7.974874,315.0,top
